name,language,category,M docs,B words,B tokens,B chars,#words/doc,#chars/doc,#tokens/doc,#char/word,#tokens/word
TOTAL,,,2186.562,1356.021,2314.862,8842.200,620,4044,1059,6.5,1.71
TOTAL,fr,,653.812,583.687,928.618,3619.672,893,5536,1420,6.2,1.59
TOTAL,en,,554.289,412.202,611.894,2553.541,744,4607,1104,6.2,1.48
TOTAL,code,,125.769,51.306,228.954,630.749,408,5015,1820,12.3,4.46
TOTAL,de,,165.915,105.609,206.610,764.779,637,4609,1245,7.2,1.96
TOTAL,es,,171.651,123.857,200.825,759.457,722,4424,1170,6.1,1.62
TOTAL,it,,99.440,62.051,112.031,404.454,624,4067,1127,6.5,1.81
TOTAL,fr-en,,410.032,17.016,25.494,107.658,41,263,62,6.3,1.5
TOTAL,it-en,,1.901,0.100,0.151,0.638,53,336,79,6.4,1.51
TOTAL,es-en,,1.961,0.103,0.143,0.631,53,322,73,6.1,1.39
TOTAL,de-fr,,1.792,0.0908,0.141,0.621,51,347,79,6.8,1.55
RedPajama,fr,Web,640.770,477.758,741.023,2974.596,746,4642,1156,6.2,1.55
RedPajama,de,Web,162.779,103.078,201.371,747.631,633,4593,1237,7.3,1.95
RedPajama,es,Web,169.447,121.751,197.125,746.984,719,4408,1163,6.1,1.62
RedPajama,it,Web,97.324,60.194,108.416,393.012,618,4038,1114,6.5,1.8
FineWebEdu,en,Web,421.209,327.453,467.837,2018.215,777,4791,1111,6.2,1.43
GallicaPress,fr,Newspaper,3.205,67.496,121.606,408.882,21060,127576,37943,6.1,1.8
AmericanStories,en,Newspaper,59.420,8.902,14.313,50.844,150,856,241,5.7,1.61
PeS2o,en,Technical,38.972,42.296,65.365,268.963,1085,6901,1677,6.4,1.55
HAL,fr,Technical,0.349,9.356,16.224,58.308,26808,167072,46487,6.2,1.73
Theses,fr,Technical,0.102,7.547,14.060,47.758,73990,468216,137843,6.3,1.86
Pile (USPTO_Backgrounds),en,Technical,5.139,3.492,5.105,22.309,680,4341,993,6.4,1.46
OpenEdition,fr,Technical,0.939,2.225,3.604,14.459,2370,15398,3838,6.5,1.62
Pile (PhilPapers),en,Technical,0.0308,0.363,0.618,2.304,11786,74805,20065,6.3,1.7
Pile (NIH_ExPorter),en,Technical,0.914,0.288,0.431,1.979,315,2165,472,6.9,1.5
GallicaMonographies,fr,Book,0.278,15.106,25.169,90.456,54338,325381,90536,6.0,1.67
Gutenberg,en,Book,0.0563,3.544,5.516,20.579,62948,365524,97975,5.8,1.56
Gutenberg,fr,Book,0.00345,0.227,0.383,1.392,65797,403478,111014,6.1,1.69
Gutenberg,de,Book,0.00188,0.0987,0.193,0.654,52500,347872,102660,6.6,1.96
Gutenberg,it,Book,0.000958,0.0657,0.129,0.414,68580,432150,134656,6.3,1.96
Gutenberg,es,Book,0.000735,0.0512,0.0920,0.303,69660,412245,125170,5.9,1.8
Pile (FreeLaw),en,Legislative Texts,3.415,8.204,14.011,52.580,2402,15397,4103,6.4,1.71
Eurovoc,en,Legislative Texts,0.272,1.523,2.571,9.468,5599,34809,9452,6.2,1.69
Eurovoc,it,Legislative Texts,0.245,0.731,1.527,4.867,2984,19865,6233,6.7,2.09
Eurovoc,de,Legislative Texts,0.247,0.678,1.497,4.915,2745,19899,6061,7.2,2.21
Eurovoc,es,Legislative Texts,0.246,0.757,1.411,4.684,3077,19041,5736,6.2,1.86
OpenData,fr,Legislative Texts,1.169,0.755,1.209,4.638,646,3967,1034,6.1,1.6
QuestionsEcritesParlement,fr,Legislative Texts,0.189,0.108,0.156,0.705,571,3730,825,6.5,1.44
LEGI,fr,Legislative Texts,0.621,0.0878,0.145,0.563,141,907,233,6.4,1.65
AmendementsParlement,fr,Legislative Texts,0.673,0.0452,0.0738,0.274,67,407,110,6.1,1.63
Europarl,de,Legislative Transcripts,0.0102,0.0451,0.0734,0.327,4422,32059,7196,7.3,1.63
Europarl,es,Legislative Transcripts,0.0103,0.0524,0.0733,0.325,5087,31553,7117,6.2,1.4
Europarl,fr,Legislative Transcripts,0.0103,0.0528,0.0717,0.339,5126,32913,6961,6.4,1.36
Europarl,en,Legislative Transcripts,0.0111,0.0563,0.0690,0.339,5072,30541,6216,6.0,1.23
DiscoursPublics,fr,Legislative Transcripts,0.110,0.163,0.238,1.025,1482,9318,2164,6.3,1.46
InterventionsParlement,fr,Legislative Transcripts,1.832,0.104,0.157,0.654,57,357,86,6.3,1.51
Wikipedia,en,Wiki,6.893,4.708,7.898,26.616,683,3861,1146,5.7,1.68
Wikipedia,de,Wiki,2.877,1.709,3.476,11.252,594,3911,1208,6.6,2.03
Wikipedia,fr,Wiki,2.648,1.726,2.940,9.879,652,3731,1110,5.7,1.7
Wikipedia,es,Wiki,1.947,1.245,2.124,7.161,639,3678,1091,5.8,1.71
Wikipedia,it,Wiki,1.870,1.060,1.959,6.161,567,3295,1048,5.8,1.85
wikisource,fr,Wiki,0.186,0.523,0.795,3.080,2812,16559,4274,5.9,1.52
wiktionary,fr,Wiki,0.650,0.0531,0.117,0.347,82,534,180,6.5,2.2
MathPile,en,Math,0.737,3.408,9.637,27.290,4624,37028,13076,8.0,2.83
Pile (DM_Mathematics),en,Math,0.992,1.746,4.928,8.127,1760,8193,4968,4.7,2.82
Pile (StackExchange),en,Forum,15.269,4.534,10.275,33.609,297,2201,673,7.4,2.27
Pile (Ubuntu_IRC),en,Forum,0.0104,0.867,2.159,5.610,83365,539423,207596,6.5,2.49
Claire,en,Dialogue,0.949,0.818,1.161,4.709,862,4962,1223,5.8,1.42
Claire,fr,Dialogue,0.0393,0.210,0.311,1.314,5344,33435,7913,6.3,1.48
YouTube,fr,Dialogue,0.0375,0.145,0.336,1.003,3867,26747,8960,6.9,2.32
Stac,en,Dialogue,0.0000450,0.0000529,0.000121,0.000327,1176,7267,2689,6.2,2.29
CroissantAligned,fr-en,Multilingual Parallel Corpora,408.029,16.911,25.351,107.003,41,262,62,6.3,1.5
EuroparlAligned,it-en,Multilingual Parallel Corpora,1.901,0.100,0.151,0.638,53,336,79,6.4,1.51
EuroparlAligned,fr-en,Multilingual Parallel Corpora,2.003,0.105,0.143,0.655,52,327,71,6.2,1.36
EuroparlAligned,es-en,Multilingual Parallel Corpora,1.961,0.103,0.143,0.631,53,322,73,6.1,1.39
EuroparlAligned,de-fr,Multilingual Parallel Corpora,1.792,0.0908,0.141,0.621,51,347,79,6.8,1.55
TheStack,JAVASCRIPT,Programming,21.109,8.526,58.609,141.647,404,6710,2776,16.6,6.87
TheStack,JAVA,Programming,20.152,7.421,27.680,89.297,368,4431,1374,12.0,3.73
TheStack,C,Programming,8.626,5.916,24.092,57.428,686,6658,2793,9.7,4.07
TheStack,PHP,Programming,15.905,4.865,22.883,66.844,306,4203,1439,13.7,4.7
TheStack,PYTHON,Programming,12.962,5.434,21.683,64.304,419,4961,1673,11.8,3.99
TheStack,C++,Programming,6.378,4.584,18.835,50.892,719,7979,2953,11.1,4.11
TheStack,C#,Programming,10.839,3.574,13.381,46.286,330,4270,1235,13.0,3.74
TheStack,GO,Programming,4.730,2.735,10.262,25.738,578,5441,2170,9.4,3.75
TheStack,TYPESCRIPT,Programming,10.637,2.617,9.836,28.815,246,2709,925,11.0,3.76
TheStack,RUST,Programming,1.387,0.872,3.241,9.529,629,6870,2337,10.9,3.72
TheStack,RUBY,Programming,3.405,0.646,2.392,7.139,190,2097,702,11.1,3.7
TheStack,SWIFT,Programming,1.756,0.553,1.876,6.134,315,3493,1068,11.1,3.39
TheStack,KOTLIN,Programming,2.243,0.454,1.758,5.769,202,2572,784,12.7,3.87
TheStack,SCALA,Programming,1.362,0.457,1.587,4.862,336,3570,1165,10.6,3.47
TheStack,TEX,Programming,0.398,0.394,1.507,3.805,990,9560,3786,9.7,3.82
TheStack,LUA,Programming,0.559,0.318,1.367,3.279,569,5866,2445,10.3,4.3
TheStack,DART,Programming,0.933,0.308,1.242,3.864,330,4141,1331,12.5,4.03
TheStack,PERL,Programming,0.392,0.297,1.149,2.634,758,6719,2931,8.9,3.87
TheStack,MATHEMATICA,Programming,0.0269,0.120,1.117,1.720,4461,63941,41524,14.3,9.31
TheStack,ASSEMBLY,Programming,0.248,0.209,0.867,1.575,843,6351,3496,7.5,4.15
TheStack,HASKELL,Programming,0.545,0.307,0.807,2.364,563,4338,1481,7.7,2.63
TheStack,FORTRAN,Programming,0.165,0.192,0.780,1.843,1164,11170,4727,9.6,4.06
TheStack,JULIA,Programming,0.299,0.152,0.660,1.539,508,5147,2207,10.1,4.34
TheStack,OCAML,Programming,0.160,0.130,0.430,1.107,812,6919,2688,8.5,3.31
TheStack,ERLANG,Programming,0.0994,0.0657,0.260,0.726,661,7304,2616,11.1,3.96
TheStack,ELIXIR,Programming,0.282,0.0731,0.258,0.737,259,2613,915,10.1,3.53
TheStack,CLOJURE,Programming,0.126,0.0448,0.179,0.492,356,3905,1421,11.0,4.0
TheStack,R,Programming,0.0392,0.0278,0.158,0.305,709,7781,4031,11.0,5.68
TheStack,MATLAB,Programming,0.000967,0.00865,0.0427,0.0372,8945,38469,44157,4.3,4.94
TheStack,RACKET,Programming,0.00420,0.00479,0.0153,0.0378,1140,9000,3643,7.9,3.19
